Muscle Group,Workout Name
Shoulders,Military Press
Shoulders,Seated Dumbbell Press
Shoulders,Front Dumbbell Raise
Shoulders,Side Dumbbell Raise
Chest,Dumbbell Bench Press
Chest,Barbell Bench Press
Chest,Incline Dumbbell Press
Chest,Incline Barbell Bench Press
Chest,Decline Dumbbell Press
Chest,Decline Barbell Bench Press
Chest,Pushups
Abs,Plank
Abs,Leg Raises
Abs,Crunches
Back,Pullups
Back,T-Bar Row
Back,Lat Pulldown
Biceps,Dumbbell Curl
Biceps,Barbell Curl
Biceps,Hammer Curl
Triceps,Dips
Triceps,EZ-Bar Skullcrusher
Legs,Barbell Squat
